90	658
340	654
591	655
841	654
1092	652
1343	651
1594	650
1845	650
2096	650
2345	658
2596	653
2847	654
3098	653
3349	654
3600	651
3850	650
4101	652
4352	649
4602	650
4853	653
5103	652
5354	653
5605	654
5856	655
6107	654
6358	654
6607	651
6858	654
7109	653
7360	651
7611	652
7862	649
8112	646
8363	651
8613	653
8864	649
9115	653
9366	652
9616	652
9867	649
10118	647
10369	648
10619	645
10870	648
11121	649
11371	651
11622	651
11873	653
12124	653
12375	652
12625	652
12876	651
13126	650
13377	650
13628	650
13879	650
14130	651
14381	651
14631	651
14882	653
15132	650
15383	649
15634	648
15885	647
16136	648
16387	652
16637	651
16888	653
17138	655
17389	652
17640	651
17891	648
18142	649
18393	647
18643	647
18894	647
19144	645
19395	646
19646	648
19897	647
20148	646
20399	643
20649	642
20900	642
21150	645
21401	647
21652	649
21903	647
22154	650
22405	647
22656	646
22906	647
23156	646
23407	646
23658	648
23909	644
24160	649
24411	649
24662	648
24911	645
25162	645
25413	647
25664	645
25915	648
26166	650
26417	650
26668	651
26917	648
27168	649
27419	646
27670	647
27921	644
28172	647
28423	647
28674	647
28923	647
29174	647
29425	644
29676	644
29927	644
30178	645
30429	646
30680	646
30929	647
31180	648
31431	650
31682	647
31933	647
32184	646
32435	646
32686	646
32935	647
33186	651
33437	648
33688	647
33939	649
34190	645
34441	645
34692	646
34941	645
35192	647
35443	648
35694	651
35945	649
36196	647
36447	648
36697	648
36947	646
37198	647
37449	647
37700	647
37951	647
38202	645
38453	648
38703	646
38953	645
39204	644
39455	643
39706	643
39957	642
40208	645
40459	644
40709	647
40960	647
41210	647
41461	647
41712	647
41963	647
42214	644
42465	646
42715	645
42966	645
43216	646
43467	648
43718	648
43969	646
44220	647
44471	643
44721	645
44972	647
45222	647
45473	649
45724	648
45975	651
46226	649
46476	648
46727	648
46978	646
47228	643
47479	645
47730	647
47981	648
48232	648
48482	645
48733	648
48984	646
49234	646
49485	643
49736	644
49987	645
50238	645
50488	649
50739	647
50990	644
51240	647
51491	645
51742	643
51993	645
52244	647
52494	643
52745	646
52996	646
53246	647
53497	648
53748	645
53949	644
54150	647
54350	646
54551	649
54751	654
54951	656
55152	659
55353	662
55554	668
55754	669
55955	670
56155	672
56355	672
56556	674
56757	677
56957	678
57158	681
57359	684
57559	686
57759	688
57960	691
58161	694
58361	695
58562	694
58763	696
58963	697
